Configured with email username  None , password  False
_sa_instance_state, endtime, id, intensity, negativity, news_id, rating, rating2, starttime, time_spent, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f97012e20>","2021-07-28 13:55:27.482328","1","None","None","65","0.0","0.0","2021-07-28 13:55:27.482323","None","1",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f97012f40>","2021-07-29 06:49:08.592242","2","None","None","28","0.0","0.0","2021-07-29 06:49:08.592235","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0040>","2021-07-29 06:49:23.533912","3","None","None","1","0.0","0.0","2021-07-29 06:49:23.533884","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0100>","2021-07-29 08:05:55.130805","4","None","None","57","0.0","0.0","2021-07-29 08:05:55.130797","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea01f0>","2021-07-29 08:16:21.969329","5","None","None","68","0.0","0.0","2021-07-29 08:16:21.969322","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea02e0>","2021-07-29 08:16:48.981512","6","None","None","12","1.5","0.0","2021-07-29 08:16:43","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea03d0>","2021-07-29 09:31:46.843680","7","None","None","28","0.0","0.0","2021-07-29 09:31:46.843671","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea04c0>","2021-07-29 12:21:29.919032","8","None","None","49","0.0","0.0","2021-07-29 12:21:29.919024","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea05b0>","2021-07-29 15:00:08.130476","9","None","None","29","0.0","0.0","2021-07-29 15:00:08.130470","None","1",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea06a0>","2021-07-29 15:31:32.708149","10","None","None","46","3.0","0.0","2021-07-29 15:31:17","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0790>","2021-07-29 15:31:39.444284","11","None","None","32","0.0","0.0","2021-07-29 15:31:39.444277","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0880>","2021-08-02 06:25:51.429946","12","None","None","16","2.5","0.0","2021-08-02 06:25:45","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0970>","2021-08-02 08:38:05.515592","13","None","None","48","0.0","0.0","2021-08-02 08:38:05.515581","None","3",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0a60>","2021-08-02 08:38:27.220092","14","None","None","28","0.0","0.0","2021-08-02 08:38:27.220077","None","3",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0b50>","2021-08-02 08:39:04.800329","15","None","None","8","0.0","0.0","2021-08-02 08:39:04.800316","None","3",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0c40>","2021-08-02 08:39:22.826699","16","None","None","50","0.0","0.0","2021-08-02 08:39:22.826693","None","3",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0d30>","2021-08-02 15:00:29.231895","17","None","None","68","0.0","0.0","2021-08-02 15:00:29.231862","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0e20>","2021-08-02 15:00:37.679325","18","None","None","17","0.0","0.0","2021-08-02 15:00:37.679309","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea0f10>","2021-08-02 15:01:04.846498","19","None","None","16","4.0","0.0","2021-08-02 15:01:01","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6040>","2021-08-02 15:01:30.156631","20","None","None","8","1.0","0.0","2021-08-02 15:01:25","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6130>","2021-08-02 15:01:52.937408","21","None","None","13","1.0","0.0","2021-08-02 15:01:49","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6220>","2021-08-02 15:10:34.931171","22","None","None","32","2.5","0.0","2021-08-02 15:10:30","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6310>","2021-08-03 09:53:20.702209","23","None","None","60","3.0","0.0","2021-08-03 09:53:17","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6400>","2021-08-06 08:08:18.206844","24","None","None","5","4.0","0.0","2021-08-06 08:08:08","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea64f0>","2021-08-06 08:13:28.575490","25","None","None","19","4.0","0.0","2021-08-06 08:13:25","None","None",
